id,news_object_id,web_url,snippet,lead_paragraph,abstract,print_page,blog,source,multimedia,headline,keywords,pub_date,document_type,news_desk,section_name,subsection_name,byline,type_of_material,_id,word_count,slideshow_credits
4913,4913,http://www.nytimes.com/2012/10/28/us/politics/tracking-clicks-online-to-try-to-sway-voters.html,"A hallmark of this presidential campaign is the use of data-mining techniques to customize ads for voters based on the digital trails they leave.","A hallmark of this presidential campaign is the use of data-mining techniques to customize ads for voters based on the digital trails they leave.","Hallmark of 2012 presidential campaign is use of increasingly sophisticated, but not always accurate, data-mining techniques to customize ads for voters based on digital trails they leave.",16,[],"The New York Times","[{""height"":75,""width"":75,""subtype"":""thumbnail"",""type"":""image"",""url"":""images/2012/10/28/us/28voter3/28voter3-thumbStandard.jpg"",""legacy"":{""thumbnail"":""images/2012/10/28/us/28voter3/28voter3-thumbStandard.jpg"",""thumbnailwidth"":""75"",""thumbnailheight"":""75""}}]","{""seo"":""Tracking Voters\u2019 Clicks Online to Try to Sway Them"",""print_headline"":""Tracking Clicks Online To Try to Sway Voters"",""main"":""Tracking Voters\u2019 Clicks Online to Try to Sway Them""}","[{""rank"":""1"",""name"":""subject"",""value"":""Presidential Election of 2012"",""is_major"":""Y""},{""rank"":""2"",""name"":""subject"",""value"":""Political Advertising"",""is_major"":""Y""},{""rank"":""3"",""name"":""subject"",""value"":""Data-Mining and Database Marketing"",""is_major"":""Y""},{""rank"":""4"",""name"":""subject"",""value"":""Computers and the Internet"",""is_major"":""N""},{""rank"":""5"",""name"":""persons"",""value"":""Romney, Mitt"",""is_major"":""N""},{""rank"":""6"",""name"":""persons"",""value"":""Obama, Barack"",""is_major"":""N""},{""rank"":""7"",""name"":""subject"",""value"":""Online Advertising"",""is_major"":""N""},{""rank"":""8"",""name"":""subject"",""value"":""Privacy"",""is_major"":""Y""},{""rank"":""9"",""name"":""organizations"",""value"":""Interactive Advertising Bureau"",""is_major"":""N""},{""rank"":""10"",""name"":""organizations"",""value"":""ValueClick Inc"",""is_major"":""N""}]",2012-10-28T00:00:00Z,article,National,U.S.,Politics,"{""person"":[{""organization"":"""",""rank"":1,""role""",News,508c4ca895e998af71189b9b,1270,null
3868,3868,http://www.nytimes.com/2012/02/27/technology/for-facebook-risk-and-riches-in-user-data.html,"Facebook faces intense scrutiny on how it handles user data, creating a cloud of uncertainty for the company before its public offering.","Facebook faces intense scrutiny on how it handles user data, creating a cloud of uncertainty for the company before its public offering.","Facebook faces intense scrutiny from consumers, courts and regulators worldwide on how it handles the data it collects from its 845 million users, creating a cloud of uncertainty for the company before its public offering; company is under pressure to find new ways to turn the data into profit.",1,[],"The New York Times","[{""height"":388,""width"":600,""subtype"":""xlarge"",""type"":""image"",""url"":""images/2012/02/27/business/facebookjump/facebookjump-articleLarge.jpg"",""legacy"":{""xlargeheight"":""388"",""xlargewidth"":""600"",""xlarge"":""images/2012/02/27/business/facebookjump/facebookjump-articleLarge.jpg""}},{""height"":75,""width"":75,""subtype"":""thumbnail"",""type"":""image"",""url"":""images/2012/02/27/business/facebookjump/facebookjump-thumbStandard.jpg"",""legacy"":{""thumbnail"":""images/2012/02/27/business/facebookjump/facebookjump-thumbStandard.jpg"",""thumbnailwidth"":""75"",""thumbnailheight"":""75""}}]","{""seo"":""For Facebook, Risk and Riches in User Data"",""print_headline"":""Risk and Riches in User Data: Scrutiny of Facebook Threatens Its Top Asset"",""main"":""Risk and Riches in User Data for Facebook""}","[{""rank"":""1"",""name"":""organizations"",""value"":""Facebook Inc"",""is_major"":""Y""},{""rank"":""2"",""name"":""subject"",""value"":""Social Networking (Internet)"",""is_major"":""N""},{""rank"":""3"",""name"":""organizations"",""value"":""European Commission"",""is_major"":""N""},{""rank"":""4"",""name"":""subject"",""value"":""Privacy"",""is_major"":""Y""},{""rank"":""5"",""name"":""subject"",""value"":""Online Advertising"",""is_major"":""N""}]",2012-02-27T00:00:00Z,article,Business,Technology,null,"{""person"":[{""organization"":"""",""rank"":1,""role""",News,515b6da8fdc59278db00a199,1247,null
4278,4278,http://www.nytimes.com/2012/05/21/nyregion/Some-Gay-Rights-Advocates-Question-Rutgers-Sentencing.html,"Prominent gay rights advocates argue that pinning blame on Dharun Ravi, who faces sentencing Monday, ignores the complicated pressures that drive gay teenagers to suicide.","Prominent gay rights advocates argue that pinning blame on Dharun Ravi, who faces sentencing Monday, ignores the complicated pressures that drive gay teenagers to suicide.","Prominent gay rights advocates argue against prison term prosecutors have recommended for Dharun Ravi, saying he is being punished for the suicide of his roommate Tyler Clementi; hold that pining blame on him ignores the complicated social pressures that drive gay teenagers to kill themselves; say as repugnant as his behavior was it was not the blatantly bigoted or threatening actions that typically define hate crimes.",1,[],"The New York Times","[{""height"":75,""width"":75,""subtype"":""thumbnail"",""type"":""image"",""url"":""images/2012/05/21/nyregion/21rutgers1/21rutgers1-thumbStandard.jpg"",""legacy"":{""thumbnail"":""images/2012/05/21/nyregion/21rutgers1/21rutgers1-thumbStandard.jpg"",""thumbnailwidth"":""75"",""thumbnailheight"":""75""}}]","{""seo"":""Some Gay Rights Advocates Uneasy About Long Jail Time for Dharun Ravi"",""print_headline"":""In Rutgers Spying Case, Voices For Gay Rights Urge Leniency"",""main"":""In Rutgers Spying Case, Voices for Gay Rights Urge Leniency""}","[{""rank"":""1"",""name"":""persons"",""value"":""Ravi, Dharun"",""is_major"":""Y""},{""rank"":""2"",""name"":""persons"",""value"":""Clementi, Tyler"",""is_major"":""Y""},{""rank"":""3"",""name"":""subject"",""value"":""Homosexuality"",""is_major"":""Y""},{""rank"":""4"",""name"":""subject"",""value"":""Sentences (Criminal)"",""is_major"":""N""},{""rank"":""5"",""name"":""subject"",""value"":""Suicides and Suicide Attempts"",""is_major"":""N""},{""rank"":""6"",""name"":""subject"",""value"":""Hate Crimes"",""is_major"":""N""},{""rank"":""7"",""name"":""organizations"",""value"":""Rutgers, The State University of New Jersey"",""is_major"":""Y""},{""rank"":""8"",""name"":""subject"",""value"":""Colleges and Universities"",""is_major"":""Y""}]",2012-05-21T00:00:00Z,article,Metro,"N.Y. / Region",null,"{""person"":[{""organization"":"""",""rank"":1,""role""",News,515a4381fdc59278db002a9f,1426,null
5433,5433,http://www.nytimes.com/2013/02/14/garden/the-secrets-hidden-at-home.html,"Somewhere in your home, your partner may be concealing something, whether it is an appetite for junk food or a smoldering flame.","Somewhere in your home, your partner may be concealing something, whether it is an appetite for junk food or a smoldering flame.","Family Secrets, new book by Dr Deborah Cohen, explores changing role of secrecy and says need to hide something from one's romantic partner, either grave or trivial, is almost universal,",1,[],"The New York Times","[{""height"":126,""width"":190,""subtype"":""wide"",""type"":""image"",""url"":""images/2013/02/14/garden/14SECRET_SPAN/14SECRET-thumbWide.jpg"",""legacy"":{""wideheight"":""126"",""wide"":""images/2013/02/14/garden/14SECRET_SPAN/14SECRET-thumbWide.jpg"",""widewidth"":""190""}},{""height"":400,""width"":600,""subtype"":""xlarge"",""type"":""image"",""url"":""images/2013/02/14/garden/14SECRET_SPAN/14SECRET-articleLarge.jpg"",""legacy"":{""xlargeheight"":""400"",""xlargewidth"":""600"",""xlarge"":""images/2013/02/14/garden/14SECRET_SPAN/14SECRET-articleLarge.jpg""}},{""height"":75,""width"":75,""subtype"":""thumbnail"",""type"":""image"",""url"":""images/2013/02/14/garden/14SECRET_SPAN/14SECRET_SPAN-thumbStandard.jpg"",""legacy"":{""thumbnail"":""images/2013/02/14/garden/14SECRET_SPAN/14SECRET_SPAN-thumbStandard.jpg"",""thumbnailwidth"":""75"",""thumbnailheight"":""75""}}]","{""seo"":""The Secrets Hidden at Home"",""print_headline"":""Where The Bonbons Are Buried"",""main"":""Where the Bonbons Are Buried""}","[{""rank"":""1"",""name"":""subject"",""value"":""Confessions"",""is_major"":""N""},{""rank"":""2"",""name"":""subject"",""value"":""Dating and Courtship"",""is_major"":""Y""},{""rank"":""3"",""name"":""subject"",""value"":""Privacy"",""is_major"":""Y""},{""rank"":""4"",""name"":""subject"",""value"":""Families and Family Life"",""is_major"":""N""},{""rank"":""5"",""name"":""persons"",""value"":""Cohen, Deborah"",""is_major"":""Y""},{""rank"":""6"",""name"":""subject"",""value"":""Books and Literature"",""is_major"":""Y""},{""rank"":""8"",""name"":""subject"",""value"":""Valentine's Day"",""is_major"":""N""}]",2013-02-14T00:00:00Z,article,Home,"Home & Garden",null,"{""person"":[{""organization"":"""",""rank"":1,""role""",News,511e1eb300315214fbb8bdd0,2139,null
5024,5024,http://www.nytimes.com/2012/11/19/nyregion/temporary-shelter-opens-for-pets-of-owners-displaced-by-hurricane-sandy.html,"The American Society for the Prevention of Cruelty to Animals opened an emergency boarding center for pets over the weekend in a vacant warehouse in Ocean Hill, Brooklyn.","The American Society for the Prevention of Cruelty to Animals opened an emergency boarding center for pets over the weekend in a vacant warehouse in Ocean Hill, Brooklyn.","American Society for the Prevention of Cruelty to Animals opens emergency boarding center in Brooklyn for pets belonging to thousands of New Yorkers left homeless due to Hurricane Sandy.",14,[],"The New York Times","[{""height"":350,""width"":600,""subtype"":""xlarge"",""type"":""image"",""url"":""images/2012/11/19/nyregion/ASPCA1/ASPCA1-articleLarge.jpg"",""legacy"":{""xlargeheight"":""350"",""xlargewidth"":""600"",""xlarge"":""images/2012/11/19/nyregion/ASPCA1/ASPCA1-articleLarge.jpg""}},{""height"":75,""width"":75,""subtype"":""thumbnail"",""type"":""image"",""url"":""images/2012/11/19/nyregion/ASPCA1/ASPCA1-thumbStandard.jpg"",""legacy"":{""thumbnail"":""images/2012/11/19/nyregion/ASPCA1/ASPCA1-thumbStandard.jpg"",""thumbnailwidth"":""75"",""thumbnailheight"":""75""}}]","{""seo"":""Temporary Shelter Opens for Pets of Owners Displaced by Hurricane Sandy"",""print_headline"":""For Pet Owners Left Homeless by Hurricane, a Temporary Home for the Animals"",""main"":""For Pet Owners Left Homeless by Hurricane, a Temporary Home for the Ani","[{""rank"":""1"",""name"":""subject"",""value"":""Hurricane Sandy (2012)"",""is_major"":""Y""},{""rank"":""2"",""name"":""organizations"",""value"":""American Society for the Prevention of Cruelty to Animals"",""is_major"":""Y""},{""rank"":""3"",""name"":""glocations"",""value"":""Brooklyn (NYC)"",""is_major"":""N""},{""rank"":""4"",""name"":""subject"",""value"":""Pets"",""is_major"":""Y""},{""rank"":""5"",""name"":""glocations"",""value"":""New York City"",""is_major"":""Y""}]",2012-11-19T00:00:00Z,article,Metro,"N.Y. / Region",null,"{""person"":[{""organization"":"""",""rank"":1,""role""",News,50a9a0e900315214fbb7b278,933,null
7605,7605,http://www.nytimes.com/2014/02/20/garden/some-bot-to-watch-over-me.html,"New home-monitoring systems promise of peace of mind, but at what cost to your privacy?","New home-monitoring systems promise of peace of mind, but at what cost to your privacy?","Several forthcoming home-monitoring products allow users to keep an eye on their apartments, often using a smartphone; some have questioned effect of such devices on privacy.",1,[],"The New York Times","[{""height"":126,""width"":190,""subtype"":""wide"",""type"":""image"",""url"":""images/2014/02/20/garden/20MONITOR/20MONITOR-thumbWide.jpg"",""legacy"":{""wideheight"":""126"",""wide"":""images/2014/02/20/garden/20MONITOR/20MONITOR-thumbWide.jpg"",""widewidth"":""190""}},{""height"":621,""width"":600,""subtype"":""xlarge"",""type"":""image"",""url"":""images/2014/02/20/garden/20JPMONITOR1/20JPMONITOR1-articleLarge.jpg"",""legacy"":{""xlargeheight"":""621"",""xlargewidth"":""600"",""xlarge"":""images/2014/02/20/garden/20JPMONITOR1/20JPMONITOR1-articleLarge.jpg""}},{""height"":75,""width"":75,""subtype"":""thumbnail"",""type"":""image"",""url"":""images/2014/02/20/garden/20JPMONITOR4/20JPMONITOR4-thumbStandard.jpg"",""legacy"":{""thumbnail"":""images/2014/02/20/garden/20JPMONITOR4/20JPMONITOR4-thumbStandard.jpg"",""thumbnailwidth"":""75"",""thumbnailheight"":""75""}}]","{""print_headline"":""Some Bot to Watch Over Me"",""content_kicker"":""Home Tech"",""kicker"":""Home Tech"",""main"":""Some Bot to Watch Over Me""}","[{""rank"":""1"",""name"":""subject"",""value"":""Computer Security"",""is_major"":""N""},{""rank"":""3"",""name"":""subject"",""value"":""Real Estate and Housing (Residential)"",""is_major"":""N""},{""rank"":""2"",""name"":""subject"",""value"":""Security and Warning Systems"",""is_major"":""Y""}]",2014-02-20T00:00:00Z,article,Home,"Home & Garden",null,"{""person"":[{""organization"":"""",""rank"":1,""role""",News,530541ed7988106dfd69eb35,2313,null
5118,5118,http://www.nytimes.com/2012/12/11/technology/many-mobile-apps-for-children-fall-short-on-disclosure-to-parents-ftc-report-says.html,"Only 20 percent of mobile apps for children provided disclosures about their data collection practices, according to a new Federal Trade Commission report.","Only 20 percent of mobile apps for children provided disclosures about their data collection practices, according to a new Federal Trade Commission report.","Federal Trade Commission says several hundred of most popular educational and gaming mobile apps for children fail to give parents basic explanations about what kinds of personal information the apps collect from children, who can see that data and what they use it for; reports only 20 percent disclose their data collection practices.",1,[],"The New York Times","[{""height"":75,""width"":75,""subtype"":""thumbnail"",""type"":""image"",""url"":""images/2012/12/11/business/APPS/APPS-thumbStandard.jpg"",""legacy"":{""thumbnail"":""images/2012/12/11/business/APPS/APPS-thumbStandard.jpg"",""thumbnailwidth"":""75"",""thumbnailheight"":""75""}}]","{""seo"":""Mobile Apps for Children Fall Short on Disclosure to Parents, F.T.C. Report Says"",""print_headline"":""Children\u2019s Apps Fall Short on Parental Disclosure, U.S. Says"",""main"":""Apps for Children Fall Short on Disclosure to Parents, Report Says""}","[{""rank"":""1"",""name"":""subject"",""value"":""Mobile Applications"",""is_major"":""Y""},{""rank"":""2"",""name"":""subject"",""value"":""Children's Online Privacy Protection Act"",""is_major"":""N""},{""rank"":""3"",""name"":""subject"",""value"":""Data-Mining and Database Marketing"",""is_major"":""Y""},{""rank"":""4"",""name"":""subject"",""value"":""Regulation and Deregulation of Industry"",""is_major"":""N""},{""rank"":""5"",""name"":""organizations"",""value"":""Federal Trade Commission"",""is_major"":""Y""},{""rank"":""6"",""name"":""subject"",""value"":""Children and Childhood"",""is_major"":""Y""},{""rank"":""7"",""name"":""subject"",""value"":""Privacy"",""is_major"":""N""}]",2012-12-11T00:00:00Z,article,Business,Technology,null,"{""person"":[{""organization"":"""",""rank"":1,""role""",News,50c60d4a00315214fbb7ea35,1035,null
1032,1032,http://www.nytimes.com/2010/07/25/magazine/25privacy-t2.html,"The digital age is facing its first existential crisis: the impossibility of erasing your posted past and moving on.","The digital age is facing its first existential crisis: the impossibility of erasing your posted past and moving on.",null,30,[],"The New York Times","[{""height"":350,""width"":600,""subtype"":""xlarge"",""type"":""image"",""url"":""images/2010/07/25/magazine/25privacy-span/25privacy-span-articleLarge.jpg"",""legacy"":{""xlargeheight"":""350"",""xlargewidth"":""600"",""xlarge"":""images/2010/07/25/magazine/25privacy-span/25privacy-span-articleLarge.jpg""}},{""height"":75,""width"":75,""subtype"":""thumbnail"",""type"":""image"",""url"":""images/2010/07/25/magazine/25privacy-span/25privacy-span-thumbStandard-v3.jpg"",""legacy"":{""thumbnail"":""images/2010/07/25/magazine/25privacy-span/25privacy-span-thumbStandard-v3.jpg"",""thumbnailwidth"":""75"",""thumbnailheight"":""75""}}]","{""print_headline"":""The End of Forgetting"",""main"":""The Web Means the End of Forgetting""}","[{""rank"":""1"",""name"":""subject"",""value"":""Computers and the Internet"",""is_major"":""N""},{""rank"":""11"",""name"":""persons"",""value"":""Zuckerberg, Mark E"",""is_major"":""N""},{""rank"":""2"",""name"":""subject"",""value"":""Social Networking (Internet)"",""is_major"":""N""},{""rank"":""3"",""name"":""subject"",""value"":""Privacy"",""is_major"":""N""},{""rank"":""4"",""name"":""subject"",""value"":""Search Engines"",""is_major"":""N""},{""rank"":""5"",""name"":""organizations"",""value"":""MySpace.com"",""is_major"":""N""},{""rank"":""6"",""name"":""organizations"",""value"":""Twitter"",""is_major"":""N""},{""rank"":""7"",""name"":""organizations"",""value"":""Facebook.com"",""is_major"":""N""},{""rank"":""8"",""name"":""organizations"",""value"":""YouTube.com"",""is_major"":""N""},{""rank"":""9"",""name"":""organizations"",""value"":""Google Inc"",""is_major"":""N""},{""rank"":""10"",""name"":""persons"",""value"":""Zittrain, Jonathan"",""is_major"":""N""}]",2010-07-25T00:00:00Z,article,Magazine,Magazine,null,"{""person"":[{""organization"":"""",""rank"":1,""role""",News,5418ae377988106440c98e6a,6846,null
6649,6649,http://www.nytimes.com/2013/10/13/business/in-a-mood-call-center-agents-can-tell.html,"New techniques in computational voice analysis are promising to help machines identify the emotions behind a person’s voice.","New techniques in computational voice analysis are promising to help machines identify the emotions behind a person’s voice.","Natasha Singer Technophoria column; new techniques in computational voice analysis are promising to help machines identify emotions behind a person’s voice; developers are offering nascent software as deeper approach for call centers and other customer services that seek to read and respond to consumers' emotions in real time.",3,[],"The New York Times","[{""height"":126,""width"":190,""subtype"":""wide"",""type"":""image"",""url"":""images/2013/10/13/business/13-TECHNO-SUB/13-TECHNO-SUB-thumbWide.jpg"",""legacy"":{""wideheight"":""126"",""wide"":""images/2013/10/13/business/13-TECHNO-SUB/13-TECHNO-SUB-thumbWide.jpg"",""widewidth"":""190""}},{""height"":398,""width"":600,""subtype"":""xlarge"",""type"":""image"",""url"":""images/2013/10/13/business/13-TECHNO-SUB/13-TECHNO-SUB-articleLarge.jpg"",""legacy"":{""xlargeheight"":""398"",""xlargewidth"":""600"",""xlarge"":""images/2013/10/13/business/13-TECHNO-SUB/13-TECHNO-SUB-articleLarge.jpg""}},{""height"":75,""width"":75,""subtype"":""thumbnail"",""type"":""image"",""url"":""images/2013/10/13/business/13-TECHNO-SUB/13-TECHNO-SUB-thumbStandard.jpg"",""legacy"":{""thumbnail"":""images/2013/10/13/business/13-TECHNO-SUB/13-TECHNO-SUB-thumbStandard.jpg"",""thumbnailwidth"":""75"",""thumbnailheight"":""75""}}]","{""print_headline"":""In a Mood? Call Center Agents Can Tell"",""content_kicker"":""Technophoria"",""kicker"":""Technophoria"",""main"":""In a Mood? Call Center Agents Can Tell""}","[{""rank"":""5"",""name"":""subject"",""value"":""Voice and Speech"",""is_major"":""N""},{""rank"":""7"",""name"":""organizations"",""value"":""CallMiner Inc"",""is_major"":""N""},{""rank"":""3"",""name"":""subject"",""value"":""Computers and the Internet"",""is_major"":""N""},{""rank"":""6"",""name"":""organizations"",""value"":""Verint Systems Inc"",""is_major"":""N""},{""rank"":""8"",""name"":""organizations"",""value"":""Beyond Verbal Communication Ltd"",""is_major"":""N""},{""rank"":""1"",""name"":""subject"",""value"":""Voice Recognition Systems"",""is_major"":""Y""},{""rank"":""2"",""name"":""subject"",""value"":""Emotions"",""is_major"":""Y""},{""rank"":""4"",""name"":""subject"",""value"":""Customer Relations"",""is_major"":""Y""}]",2013-10-13T00:00:00Z,article,SundayBusiness,"Business Day",null,"{""person"":[{""organization"":"""",""rank"":1,""role""",News,5259b7a97988105ad44f7745,1238,null
12242,12242,http://www.nytimes.com/2015/07/09/us/amtrak-is-urged-to-install-cameras-to-monitor-engineers.html,"The recommendation from the National Transportation Safety Board follows the May 12 crash of a train in Philadelphia that killed eight people.","The recommendation from the National Transportation Safety Board follows the May 12 crash of a train in Philadelphia that killed eight people.","National Transportation Safety Board recommends that Amtrak install video cameras in cabs of all of its trains to monitor actions of engineers; recommendation follows May train derailment outside of Philadelphia that killed eight passengers.",19,[],"The New York Times",[],"{""print_headline"":""Amtrak Is Urged to Install Cameras to Monitor Engineers"",""main"":""Amtrak Is Urged to Install Cameras to Monitor Engineers""}","[{""rank"":""1"",""name"":""organizations"",""value"":""Amtrak"",""is_major"":""Y""},{""rank"":""2"",""name"":""organizations"",""value"":""National Transportation Safety Board"",""is_major"":""Y""},{""rank"":""3"",""name"":""subject"",""value"":""Railroad Accidents and Safety"",""is_major"":""Y""},{""rank"":""4"",""name"":""subject"",""value"":""Cameras"",""is_major"":""Y""},{""rank"":""5"",""name"":""glocations"",""value"":""Philadelphia (Pa)"",""is_major"":""N""}]",2015-07-09T00:00:00Z,article,National,U.S.,null,"{""person"":[{""organization"":"""",""rank"":1,""role""",News,559de34879881032d5272f02,250,null
